                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3933,                 9.2577,                0.66997,                 1.3481,                 1.4549,                0.21388,                    0.5,                0.26704,                 0.1156,                      0,                      0,                      0,                      0,                 1.9833,                 11.008,                0.68034,                 2.3188,                 1.8779,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.5863,                 9.8919,                 0.6863,                 1.3071,                 1.3773,                0.18529,                0.42857,                0.24679,                0.11597,                      0,                      0,                      0,                      0,                 1.9497,                 10.969,                0.67878,                 2.3255,                 1.8404,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.4163,                 9.1194,                0.69273,                  1.216,                 1.2621,                0.18529,                0.42857,                0.24679,                0.11597,                      0,                      0,                      0,                      0,                 1.9497,                 10.969,                0.67878,                 2.3255,                 1.8404,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.6276,                 9.4237,                0.68691,                 1.2588,                 1.5362,                0.16513,                    0.5,                0.22256,                0.10196,                      0,                      0,                      0,                      0,                 1.9741,                 10.915,                0.67836,                 2.3551,                  1.827,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.8136,                 10.086,                0.69751,                 1.5033,                 1.4398,                0.16513,                    0.5,                0.22256,                0.10196,                      0,                      0,                      0,                      0,                 1.9741,                 10.915,                0.67836,                 2.3551,                  1.827,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.9602,                 9.2119,                 0.7134,                 1.5307,                 1.6715,                0.15245,                    0.5,                0.23014,                0.10856,                      0,                      0,                      0,                      0,                 2.0121,                 10.932,                0.67764,                 2.3941,                 1.8117,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.5249,                 9.2252,                0.69913,                 1.4157,                  1.423,                0.15245,                    0.5,                0.23014,                0.10856,                      0,                      0,                      0,                      0,                 2.0121,                 10.932,                0.67764,                 2.3941,                 1.8117,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.6056,                 9.9742,                0.69727,                  1.681,                 1.4138,                0.27734,                0.21429,                0.23394,                0.11009,                      0,                      0,                      0,                      0,                 2.0192,                 10.893,                0.67589,                  2.434,                 1.8155,             0.00049073,             0.00049073,             0.00049073
                     44,                 2.0281,                 9.0213,                0.71926,                 1.4855,                 1.5308,                0.27734,                0.21429,                0.23394,                0.11009,                      0,                      0,                      0,                      0,                 2.0192,                 10.893,                0.67589,                  2.434,                 1.8155,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.4952,                 9.6304,                0.65877,                 1.2598,                 1.4107,                0.23754,                0.28571,                0.22922,                0.11161,                      0,                      0,                      0,                      0,                 2.0411,                 10.889,                0.67583,                 2.4407,                 1.8442,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.4124,                 9.7473,                 0.6801,                 1.1577,                 1.3479,                0.23754,                0.28571,                0.22922,                0.11161,                      0,                      0,                      0,                      0,                 2.0411,                 10.889,                0.67583,                 2.4407,                 1.8442,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.4788,                 8.8093,                0.68166,                 1.2809,                 1.4451,                0.17095,                0.64286,                0.25003,                0.11741,                      0,                      0,                      0,                      0,                 2.1088,                 10.879,                0.67678,                 2.4383,                 1.8691,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.4279,                 7.6567,                0.69683,                 1.4607,                 1.4961,                0.17095,                0.64286,                0.25003,                0.11741,                      0,                      0,                      0,                      0,                 2.1088,                 10.879,                0.67678,                 2.4383,                 1.8691,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.0503,                 9.3065,                0.71397,                 0.8573,                 1.0893,                0.19077,                0.57143,                0.26006,                0.11751,                      0,                      0,                      0,                      0,                 2.1742,                 10.871,                0.67744,                 2.4204,                 1.9051,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.4893,                 10.261,                0.66404,                 1.2496,                 1.4197,                0.19077,                0.57143,                0.26006,                0.11751,                      0,                      0,                      0,                      0,                 2.1742,                 10.871,                0.67744,                 2.4204,                 1.9051,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.6332,                 9.0007,                0.68528,                 1.2233,                 1.2556,                0.22603,                0.35714,                0.28564,                0.12629,                      0,                      0,                      0,                      0,                 2.2403,                 10.866,                0.67696,                 2.4624,                  1.944,               0.000505,               0.000505,               0.000505
                     52,                 1.2578,                 8.6284,                0.70372,                 1.2792,                 1.1893,                0.22603,                0.35714,                0.28564,                0.12629,                      0,                      0,                      0,                      0,                 2.2403,                 10.866,                0.67696,                 2.4624,                  1.944,               0.000505,               0.000505,               0.000505
                     53,                 1.1848,                 9.1468,                0.67905,                 1.2799,                 1.2851,                0.22603,                0.35714,                0.28564,                0.12629,                      0,                      0,                      0,                      0,                 2.2403,                 10.866,                0.67696,                 2.4624,                  1.944,             0.00050461,             0.00050461,             0.00050461
                     54,                0.92145,                 8.6021,                0.67935,                0.95466,                 1.1073,                0.25574,                0.35714,                0.29762,                0.12736,                      0,                      0,                      0,                      0,                 2.2658,                 10.854,                0.67663,                 2.5236,                 1.9828,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.6658,                 9.2666,                0.67302,                 1.2334,                 1.5473,                0.25574,                0.35714,                0.29762,                0.12736,                      0,                      0,                      0,                      0,                 2.2658,                 10.854,                0.67663,                 2.5236,                 1.9828,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.5197,                 9.6962,                0.64618,                 1.5474,                 1.4912,                0.25574,                0.35714,                0.29762,                0.12736,                      0,                      0,                      0,                      0,                 2.2658,                 10.854,                0.67663,                 2.5236,                 1.9828,             0.00050105,             0.00050105,             0.00050105
